Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
315.432,11630,315,432000000,world,-0.0005669379495927509,0.11036843936576567,0.013163575113381249,9.619483341535994e-05,0.0008079210050378481,-9.160219098611666e-05
315.456,11631,315,448000000,world,-0.0005286992135316854,0.1102348505767074,0.013230318888471242,0.0001012304166681359,0.0008679847848195392,-4.460888939755616e-05
315.48,11632,315,472000000,world,-0.000511279974921146,0.11015182165880019,0.01321209858508466,0.00010564972008064755,0.0009236007536293033,-6.063282136741053e-06
315.504,11633,315,504000000,world,-0.00048159599588527195,0.11005033820269225,0.01320426736708385,0.00011333510881640218,0.0010224933008215016,6.356606910825615e-05
315.624,11634,315,616000000,world,-0.0003596161449030427,0.10998844582349616,0.013157448378321484,0.00012042666176365292,0.001247923887013457,0.0002243104946695002
315.672,11635,315,664000000,world,-0.00029955741239975756,0.11004650835363577,0.013134977963710298,0.00011617248227048094,0.0013069494664100097,0.00027013194212391307
316.072,11636,316,64000000,world,0.0002721155389310976,0.11744678981983564,0.013277619446656872,8.858365958621136e-05,0.0015024559398006201,0.0005016651452959016
316.096,11637,316,80000000,world,0.00029356965554026945,0.11760778278432808,0.013276371055880455,8.78158925709534e-05,0.0015076065564470532,0.0005107695584995552
316.184,11638,316,176000000,world,0.0004123825195172792,0.1181535577697776,0.013230339408618676,7.764005221804828e-05,0.0015101983126738132,0.0005354383440240308
316.232,11639,316,224000000,world,0.0005673693926094409,0.11834691907569794,0.013268865818700935,6.822727843515255e-05,0.0014860115776379895,0.0005289806811687701
316.296,11640,316,280000000,world,0.000645087783185731,0.11858746647573246,0.013243545976693555,5.844899472808188e-05,0.0014032156865794285,0.00048554699824112176
316.352,11641,316,344000000,world,0.00072677857491308,0.11875290272223685,0.013208175118432131,4.935076937477189e-05,0.0011041342108249648,0.00032697371558644463
316.368,11642,316,360000000,world,0.0007594177010899117,0.11887763272815006,0.013215302158988305,4.7730143242932054e-05,0.0010115747124559125,0.0002787437589851693
316.384,11643,316,376000000,world,0.0007941825422712352,0.11902404163077077,0.013225885961636713,4.60368499507047e-05,0.0009147617412584295,0.000228353913256573
316.408,11644,316,392000000,world,0.0008145471025966047,0.11902334978300279,0.01321749499645291,4.37441130197991e-05,0.0008126818765502429,0.0001708112499848594
316.608,11645,316,600000000,world,0.0011544578080722584,0.12157507192903641,0.01311644356367451,-4.4972584284020535e-05,-0.0006149735666497623,-0.000885151358026659
316.624,11646,316,616000000,world,0.0011694789051810092,0.12135326522146944,0.013088266389133772,-5.4186884779673666e-05,-0.0007308071585906858,-0.0009774017789046874
316.664,11647,316,648000000,world,0.001235142177196493,0.12090893892978302,0.012960287210155236,-7.350536883741415e-05,-0.0009688507140993776,-0.0011630983966104335
316.68,11648,316,664000000,world,0.0012446094472562924,0.12058886609828648,0.012922654717252943,-8.37387058982887e-05,-0.0010905033413719438,-0.0012558645931376737
316.688,11649,316,680000000,world,0.001242659947466574,0.12008413294188115,0.012874540211903608,-9.461012634974263e-05,-0.0012106110740371476,-0.0013450963843100177
316.72,11650,316,712000000,world,0.0012099139106575808,0.11939570604708587,0.012576915632315432,-0.00012247649018228056,-0.0013878212178215629,-0.0014290002917461654
316.752,11651,316,744000000,world,0.0012151849419677148,0.11860179858651683,0.012474960253700132,-0.00016485988167168092,-0.001393690484677996,-0.0012807765817242564
316.776,11652,316,760000000,world,0.0013337930100387606,0.11418167403728223,0.01232050238197555,-0.00019335683712958077,-0.0013317703316590465,-0.0011043487873561065
316.784,11653,316,776000000,world,0.0013267386003457647,0.11358536922725271,0.012264918226837573,-0.00022705412466925989,-0.0012286845228002123,-0.0008645896230783637
316.824,11654,316,816000000,world,0.0013152197528594257,0.11203034755744308,0.012125821654348863,-0.00030687020485527434,-0.0009003991122537053,-0.0002230661505810742
316.832,11655,316,824000000,world,0.0013081540997983594,0.1117220175718023,0.01209786340438734,-0.00035162697537149723,-0.0006807251451247285,0.00015925237523711268
316.864,11656,316,840000000,world,0.0011807051583973814,0.11055792183171796,0.012039689201907702,-0.0003978294748125331,-0.0004374870710826557,0.0005681668125378082
316.888,11657,316,872000000,world,0.0012812469252806722,0.10955525430116268,0.011925486081029116,-0.0004866734230306741,6.953053943378217e-05,0.001390534773000631
316.896,11658,316,888000000,world,0.0012534122008412256,0.10891349457615607,0.011871336383024497,-0.0005263679714256494,0.00031325052199198013,0.0017779867662120444
