Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
460.152,20390,460,144000000,world,6.456511345182367e-06,4.3815792684707275e-05,-8.768796305790228e-05,-1.831287926633484e-06,-3.916815266667893e-06,-0.0006295515199748235
460.168,20391,460,160000000,world,6.627278913683541e-06,4.785595177598705e-05,-8.766692456218686e-05,3.7223773350765436e-07,-3.932457130723872e-06,-0.0006260727280610279
460.192,20392,460,176000000,world,6.787949912656178e-06,5.1646807853228526e-05,-8.764743381318559e-05,3.332715604096785e-06,-3.948765807777118e-06,-0.0006219595247494731
460.192,20393,460,192000000,world,6.938008165142511e-06,5.5176145959160944e-05,-8.76295485309377e-05,6.370222038556283e-06,-3.965530778062914e-06,-0.0006179084212645572
460.208,20394,460,208000000,world,7.137545931265567e-06,5.984277892624186e-05,-8.760653087002074e-05,9.506538588910983e-06,-3.991195645198275e-06,-0.0006135519455638117
460.232,20395,460,224000000,world,7.2000494271873895e-06,6.130013779264867e-05,-8.759945199670582e-05,1.024750686528849e-05,-3.999794253964584e-06,-0.0006124533036552063
460.24,20396,460,240000000,world,7.322924835656752e-06,6.416300051791156e-05,-8.758560645463951e-05,1.1543176357271271e-05,-4.01695586789396e-06,-0.0006104695435564106
460.256,20397,460,256000000,world,7.443674519399868e-06,6.697407918871262e-05,-8.757207264878833e-05,1.265286173298669e-05,-4.034064875784376e-06,-0.0006086910111689938
460.288,20398,460,272000000,world,7.566519360675177e-06,6.983609858637734e-05,-8.755821078493165e-05,1.3342390754522562e-05,-4.0512094625320045e-06,-0.0006073113758232353
460.296,20399,460,288000000,world,7.752150217453773e-06,7.416020523148848e-05,-8.753722090313237e-05,1.4271948701128082e-05,-4.077128786516381e-06,-0.0006052868237223173
460.304,20400,460,304000000,world,7.814272749816974e-06,7.560678987823212e-05,-8.75301909627018e-05,1.456453643527494e-05,-4.0858423473618155e-06,-0.0006046067434744256
460.328,20401,460,320000000,world,7.941100598534158e-06,7.856217550718603e-05,-8.751574943404732e-05,1.5225315718121205e-05,-4.1033368080865675e-06,-0.0006031079004762229
460.344,20402,460,336000000,world,8.070059808080798e-06,8.156963285677044e-05,-8.750099121921445e-05,1.6034230181925017e-05,-4.120737487334407e-06,-0.0006013788386059504
