Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
145.328,6768,145,320000000,world,11.248175006838215,-6.5909951333386205,4.295863802767248,0.0005695365365302568,-0.0014320843907939039,-0.013967884504524778,0.999901256607321
145.352,6769,145,344000000,world,11.2481754035635,-6.59098495205117,4.295863578213619,0.0005696489981499443,-0.0014321910568262084,-0.01397794590542444,0.9999011157894868
145.352,6770,145,352000000,world,11.248175610089655,-6.590979839706463,4.295863479438122,0.0005697112113695235,-0.0014322474347709109,-0.013982960786948235,0.9999010455560351
145.368,6771,145,368000000,world,11.2481760402566,-6.590969578135004,4.295863308330579,0.0005698513412508469,-0.0014323647379087545,-0.013992955467667118,0.9999009054891322
145.408,6772,145,384000000,world,11.248176493171261,-6.590959271044885,4.295863172156686,0.0005700087375852119,-0.0014324875529485067,-0.014002907429065431,0.9999007659027884
145.424,6773,145,424000000,world,11.248177724804316,-6.5909333180633505,4.29586298286883,0.0005704584350612335,-0.0014328103674136872,-0.014027636336764735,0.9999004185669834
145.472,6774,145,464000000,world,11.248179093826483,-6.590907251471613,4.295862962289527,0.0005709327332835307,-0.0014331650716611424,-0.014052204984738557,0.9999000728116577
145.488,6775,145,472000000,world,11.248179383814552,-6.590902036428678,4.295862974557097,0.0005710264187630658,-0.001433237661587691,-0.01405710299737814,0.9999000038073587
145.496,6776,145,496000000,world,11.248180284749463,-6.5908864000044005,4.295863028518366,0.0005712913864420959,-0.001433459964813732,-0.01407176106331738,0.9998997971593243
145.504,6777,145,504000000,world,11.248180595369092,-6.590881190811768,4.29586305222642,0.0005713742737718957,-0.0014335356411668322,-0.014076634809722672,0.9998997284025226
145.52,6778,145,512000000,world,11.248180911141745,-6.590875983117807,4.29586307879552,0.0005714544066639748,-0.0014336121370259595,-0.014081502256366186,0.9998996597110661
145.528,6779,145,528000000,world,11.248181558160097,-6.59086557222962,4.29586314074571,0.000571606750775712,-0.0014337678756430568,-0.014091217993680603,0.9998995225275668
145.56,6780,145,552000000,world,11.248182567397729,-6.590849967143381,4.2958632572141795,0.0005718156652185204,-0.001434008647894142,-0.01410574275075381,0.9998993172652398
145.584,6781,145,568000000,world,11.248183266022217,-6.590839572232035,4.295863351507846,0.000571940403029149,-0.0014341740378083611,-0.014115390999346833,0.9998991808007147
145.6,6782,145,592000000,world,11.24818435256953,-6.590823996971708,4.295863519570543,0.0005720989030806202,-0.0014344294120164532,-0.014129802562917033,0.9998989767944759
145.616,6783,145,608000000,world,11.248185485213769,-6.590808452961624,4.295863720414048,0.0005722210407365998,-0.0014346934649284084,-0.014144138437302646,0.9998987736594184
145.632,6784,145,624000000,world,11.24818626583652,-6.5907981117449905,4.295863872671853,0.0005722829881383577,-0.0014348743351159739,-0.014153654502949392,0.9998986387089619
145.664,6785,145,656000000,world,11.248187475036767,-6.590782634681753,4.295864128598286,0.0005723491434112538,-0.001435152972626969,-0.014167870114211641,0.9998984369468882
145.664,6786,145,664000000,world,11.248187888311573,-6.590777485077653,4.295864221250874,0.000572364251300205,-0.0014352478169323518,-0.014172593465542985,0.9998983698643219
145.696,6787,145,680000000,world,11.248188730195224,-6.590767200095779,4.295864417571756,0.0005723841861776229,-0.001435440476077494,-0.014182017775816068,0.999898235951434
145.704,6788,145,696000000,world,11.248190031399355,-6.590751807804531,4.295864739593174,0.0005723889725503362,-0.001435736927134079,-0.014196099341795698,0.9998980356985497
145.704,6789,145,704000000,world,11.248190031399355,-6.590751807804531,4.295864739593174,0.0005723889725503362,-0.001435736927134079,-0.014196099341795698,0.9998980356985497
145.744,6790,145,720000000,world,11.248191378940806,-6.590736459076632,4.295865094660665,0.0005723615742630926,-0.001436042115705017,-0.014210113996937043,0.9998978362040116
145.752,6791,145,744000000,world,11.248192773004835,-6.590721156479186,4.29586548277031,0.0005722980090420847,-0.0014363558129224423,-0.014224058433690826,0.9998976375202827
145.776,6792,145,760000000,world,11.248193728320338,-6.590710983921178,4.2958657598615035,0.000572229552302264,-0.0014365694560706322,-0.014233309942560283,0.9998975056022574
145.816,6793,145,784000000,world,11.24819469919557,-6.5907008452371185,4.29586604960489,0.000572131417670685,-0.0014367827381510639,-0.0142425239844548,0.9998973741497457
145.832,6794,145,816000000,world,11.24819713372386,-6.590675752939468,4.295866810823924,0.0005717080568965375,-0.001437273258958676,-0.014265427839559277,0.9998970471823744
145.856,6795,145,832000000,world,11.248199073234938,-6.590655999329451,4.295867454046387,0.0005711822233300725,-0.0014376110255824059,-0.014283630629494254,0.9998967871342758
145.872,6796,145,856000000,world,11.248199073234938,-6.590655999329451,4.295867454046387,0.0005711822233300725,-0.0014376110255824059,-0.014283630629494254,0.9998967871342758
145.872,6797,145,872000000,world,11.24820004007764,-6.5906462364268075,4.295867787064788,0.0005708597829151859,-0.0014377617288437883,-0.01429269311728671,0.9998966576020617
145.88,6798,145,880000000,world,11.24820052279096,-6.590641382721415,4.295867956426639,0.0005706840965126612,-0.001437832540928176,-0.014297214878959135,0.9998965929554673
145.92,6799,145,920000000,world,11.248202929567817,-6.5906173812663456,4.295868831738451,0.0005696613200356925,-0.0014381412658173568,-0.014319727897526596,0.999896270934451
145.952,6800,145,952000000,world,11.248204847134467,-6.590598489928334,4.295869566087626,0.0005686771500448854,-0.0014383341140076224,-0.014337629061630103,0.9998960146906111
145.96,6801,145,960000000,world,11.248205325487147,-6.590593808243706,4.295869754397709,0.0005684098463118904,-0.0014383748544757313,-0.014342090985918573,0.9998959507939694
145.976,6802,145,976000000,world,11.248206281047736,-6.5905844906518585,4.295870136684552,0.0005678550890103345,-0.001438447449128895,-0.014351004449341892,0.9998958231140028
145.992,6803,145,992000000,world,11.248207235088158,-6.590575233837407,4.2958705265273,0.000567273862107128,-0.0014385081999737923,-0.01435990457073233,0.9998956955779156
146.024,6804,146,24000000,world,11.248209138612701,-6.590556902283966,4.295871328881081,0.0005660323902495075,-0.001438594176089225,-0.014377665870726008,0.9998954409228195
146.04,6805,146,40000000,world,11.248210088052279,-6.5905478278445155,4.295871739283334,0.0005653766745399558,-0.0014386226526378403,-0.01438652715774396,0.9998953137956087
146.072,6806,146,72000000,world,11.248211981997192,-6.59052986395983,4.295872565680401,0.0005640232394668697,-0.0014386703949192644,-0.014404209874732588,0.9998950599153716
146.096,6807,146,88000000,world,11.248212926402179,-6.590520981126233,4.295872979511776,0.0005633285084061637,-0.0014386861238373187,-0.014413029627995042,0.9998949331905683
146.112,6808,146,104000000,world,11.248213868636716,-6.5905121710348595,4.295873393508477,0.0005626217835159434,-0.0014387106547067974,-0.01442183330914147,0.9998948066133678
